Filename,RA,Dec,TIC_ID,Sector,Camera,CCD,Magnitude,Label
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_377307592.pkl,286.98610137009894,59.39779584770501,377307592,18,4,1,11.7256,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_233195058.pkl,264.269583,67.11923,233195058,18,4,3,7.764999900000001,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_230086768.pkl,246.624584445956,66.1436142706588,230086768,18,4,3,13.4447,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_259967623.pkl,319.002773162197,64.5367356885412,259967623,18,3,4,8.7503996,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_455824124.pkl,322.467262275887,64.9212726037527,455824124,18,3,4,9.6934996,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_352954787.pkl,314.03924606735893,65.1753633401626,352954787,18,3,4,9.9129,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_317507345.pkl,351.17446507011704,77.6271015990238,317507345,18,3,2,9.6870804,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_316250867.pkl,51.81585817011029,54.6544662444008,316250867,18,2,4,11.3211,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_366517337.pkl,303.750925530806,76.9050710903732,366517337,18,3,3,10.1437,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_453012065.pkl,9.256529230140783,55.2172268321422,453012065,18,2,2,5.6893902,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_279509403.pkl,37.266324320491,67.4023872520456,279509403,18,2,1,4.5716,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_280626089.pkl,50.702770208762296,67.2689692700774,280626089,18,2,1,11.3447,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_353894978.pkl,271.685973321098,56.4070563954253,353894978,18,4,4,10.3197,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_269411609.pkl,350.38285787213,64.22817907633831,269411609,18,3,1,14.2328,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_53713272.pkl,18.1204913049387,60.22309856157129,53713272,18,2,2,12.924,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_373702832.pkl,27.8134944684131,65.39303553997989,373702832,18,2,1,11.3059,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_160585813.pkl,243.31420534915,72.8725409594077,160585813,18,4,2,11.2036,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_436863045.pkl,41.55861124476609,27.8774815066576,436863045,18,1,3,9.3054504,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_396300606.pkl,2.27022007154275,58.2800116400605,396300606,18,2,2,13.0215,EB
tesslcs_sector_18_104/2_min_cadence_targets/tesslc_403037785.pkl,29.2146844662414,42.100605917663295,403037785,18,1,2,9.8095999,EB
